source_project,source_path,asset_type,dimensions,has_alpha,file_size,visual_category,technical_quality,style_fit,ownership_status,reuse_recommendation,suggested_target_path,notes
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/ApostateSprites/Apostate.png,png,500x500,yes,161654,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/ApprenticeSprites/Apprentice.png,png,500x500,yes,167738,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/ArcanistSprites/Arcanist.png,png,500x500,yes,237393,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/ArchonSprites/Archon.png,png,500x500,yes,259097,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/BlightbladeSprites/Blightblade.png,png,500x500,yes,253115,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/CabalistSprites/Cabalist.png,png,500x500,yes,215968,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/ClericSprites/Cleric.png,png,1080x1076,yes,917496,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/DruidSprites/Druid.png,png,500x500,yes,195593,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/FireMageSprites/Back.png,png,107x227,yes,34226,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/FireMageSprites/BackLeft.png,png,138x228,yes,43011,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
dark_fantasy,dark_fantasy/Characters/NPC/EnemyNPC/FireMageSprites/BackRight.png,png,138x228,yes,43133,enemy_portraits,good,high,"Created by Joe in earlier donor project; okay for internal reuse, still track source path.",Use later,godot_game/assets/billboards/demons/,
